geom,degrade_level,query_split,similarity,template_mode,record_id,yaw_true,pitch_true,top1_yaw_pred,top1_pitch_pred,top1_yaw_err,top1_pitch_err,nearest_distance,margin,topk10_idx
G1,clean,val,neg-L2,matched-degraded,G1_yaw285_pitch-070,285.0,-70.0,290.0,-70.0,5.0,0.0,0.0,0.0,1103;919;1762;1039;790;155;605;1626;1966;1358
G1,clean,val,neg-L2,matched-degraded,G1_yaw050_pitch-030,50.0,-30.0,65.0,55.0,15.0,85.0,0.0,0.0,1885;200;644;959;1603;1851;2057;201;2003;850
G1,clean,val,neg-L2,matched-degraded,G1_yaw115_pitch+030,115.0,30.0,270.0,-70.0,155.0,100.0,0.0,0.0,613;1431;1356;1125;1754;1981;1900;789;1270;709
G1,clean,val,neg-L2,matched-degraded,G1_yaw345_pitch-085,345.0,-85.0,335.0,5.0,10.0,90.0,0.0,0.0,793;1140;1896;243;406;599;1067;1221;901;1751
G1,clean,val,neg-L2,matched-degraded,G1_yaw300_pitch+050,300.0,50.0,305.0,45.0,5.0,5.0,0.0,0.0,310;1675;1824;1701;2025;110;1685;1776;2089;1341
G1,clean,val,neg-L2,matched-degraded,G1_yaw065_pitch+065,65.0,65.0,235.0,55.0,170.0,10.0,0.0,0.0,516;41;688;446;47;580;738;95;1214;1016
G1,clean,val,neg-L2,matched-degraded,G1_yaw090_pitch-085,90.0,-85.0,30.0,-90.0,60.0,5.0,0.0,0.0,615;395;838;1392;1010;1963;2008;1249;1049;2013
G1,clean,val,neg-L2,matched-degraded,G1_yaw325_pitch+045,325.0,45.0,320.0,35.0,5.0,10.0,0.0,0.0,1843;461;1839;1519;1223;567;1487;1921;1726;1585
G1,clean,val,neg-L2,matched-degraded,G1_yaw240_pitch-040,240.0,-40.0,235.0,-45.0,5.0,5.0,0.0,0.0,705;1728;1302;1993;1056;1763;2016;935;11;133
G1,clean,val,neg-L2,matched-degraded,G1_yaw340_pitch+045,340.0,45.0,195.0,-5.0,145.0,50.0,0.0,0.0,246;1498;1069;1418;1183;432;1522;1681;1634;1082
G1,clean,val,neg-L2,matched-degraded,G1_yaw030_pitch+050,30.0,50.0,310.0,-10.0,80.0,60.0,0.0,0.0,2019;596;1397;2023;1057;531;1163;663;1658;1538
G1,clean,val,neg-L2,matched-degraded,G1_yaw195_pitch+030,195.0,30.0,305.0,-85.0,110.0,115.0,0.0,0.0,971;1819;381;1118;217;1285;909;776;467;661
G1,clean,val,neg-L2,matched-degraded,G1_yaw255_pitch+040,255.0,40.0,90.0,-65.0,165.0,105.0,0.0,0.0,459;51;1525;1509;1518;2051;534;81;777;1388
G1,clean,val,neg-L2,matched-degraded,G1_yaw215_pitch+020,215.0,20.0,155.0,-20.0,60.0,40.0,0.0,0.0,1772;541;1324;1501;1769;1933;497;378;1095;1149
G1,clean,val,neg-L2,matched-degraded,G1_yaw000_pitch+085,0.0,85.0,0.0,50.0,0.0,35.0,0.0,0.0,286;822;364;148;1510;147;610;229;808;1298
G1,clean,val,neg-L2,matched-degraded,G1_yaw120_pitch+050,120.0,50.0,120.0,65.0,0.0,15.0,0.0,0.0,619;464;1370;579;1427;132;847;1544;92;1592
G1,clean,val,neg-L2,matched-degraded,G1_yaw095_pitch-055,95.0,-55.0,330.0,10.0,125.0,65.0,0.0,0.0,924;1825;1834;1023;539;1983;333;862;594;1597
G1,clean,val,neg-L2,matched-degraded,G1_yaw025_pitch-035,25.0,-35.0,90.0,20.0,65.0,55.0,0.0,0.0,1870;2088;1559;871;718;230;274;1006;344;583
G1,clean,val,neg-L2,matched-degraded,G1_yaw165_pitch-025,165.0,-25.0,135.0,-30.0,30.0,5.0,0.0,0.0,415;2004;1680;1790;1374;745;1982;519;1313;65
G1,clean,val,neg-L2,matched-degraded,G1_yaw335_pitch-010,335.0,-10.0,335.0,-15.0,0.0,5.0,0.0,1e-06,1684;778;1939;1893;1976;1599;278;1605;1840;607
G1,clean,val,neg-L2,matched-degraded,G1_yaw265_pitch-035,265.0,-35.0,325.0,20.0,60.0,55.0,0.0,0.0,538;108;332;911;766;247;537;2070;1311;1478
G1,clean,val,neg-L2,matched-degraded,G1_yaw135_pitch+000,135.0,0.0,85.0,30.0,50.0,30.0,0.0,0.0,1926;1539;584;349;980;281;1672;1815;706;1
G1,clean,val,neg-L2,matched-degraded,G1_yaw320_pitch+040,320.0,40.0,15.0,-50.0,55.0,90.0,0.0,0.0,1228;1640;1199;2049;748;177;153;685;1465;1531
G1,clean,val,neg-L2,matched-degraded,G1_yaw210_pitch+070,210.0,70.0,100.0,-50.0,110.0,120.0,0.0,0.0,188;2080;928;54;933;774;1177;1830;960;427
G1,clean,val,neg-L2,matched-degraded,G1_yaw105_pitch-055,105.0,-55.0,175.0,-85.0,70.0,30.0,0.0,0.0,93;1334;1641;1513;143;175;267;1690;1766;1998
G1,clean,val,neg-L2,matched-degraded,G1_yaw300_pitch-080,300.0,-80.0,355.0,-60.0,55.0,20.0,0.0,0.0,55;769;1385;106;1030;470;1932;729;151;1607
G1,clean,val,neg-L2,matched-degraded,G1_yaw160_pitch-040,160.0,-40.0,130.0,-5.0,30.0,35.0,0.0,0.0,911;332;766;537;1178;538;108;431;97;1704
G1,clean,val,neg-L2,matched-degraded,G1_yaw065_pitch+090,65.0,90.0,235.0,75.0,170.0,15.0,0.0,0.0,1394;26;711;1312;931;1430;208;520;1988;134
G1,clean,val,neg-L2,matched-degraded,G1_yaw080_pitch+065,80.0,65.0,35.0,50.0,45.0,15.0,0.0,0.0,1744;490;954;341;447;1577;437;1798;970;196
G1,clean,val,neg-L2,matched-degraded,G1_yaw060_pitch+000,60.0,0.0,60.0,75.0,0.0,75.0,0.0,0.0,695;680;546;167;1008;1193;879;127;419;2018
G1,clean,val,neg-L2,matched-degraded,G1_yaw320_pitch-085,320.0,-85.0,80.0,55.0,120.0,140.0,0.0,0.0,1212;1265;1969;836;1911;425;1748;1207;2068;452
G1,clean,val,neg-L2,matched-degraded,G1_yaw165_pitch-055,165.0,-55.0,15.0,55.0,150.0,110.0,0.0,0.0,703;1292;1310;225;479;1439;535;383;550;733
G1,clean,val,neg-L2,matched-degraded,G1_yaw070_pitch+020,70.0,20.0,245.0,-60.0,175.0,80.0,0.0,0.0,1718;1276;489;937;642;1306;1792;295;964;1901
G1,clean,val,neg-L2,matched-degraded,G1_yaw325_pitch-020,325.0,-20.0,150.0,-70.0,175.0,50.0,0.0,0.0,778;1939;1599;278;1684;1840;338;1893;1976;835
G1,clean,val,neg-L2,matched-degraded,G1_yaw120_pitch+035,120.0,35.0,350.0,60.0,130.0,25.0,0.0,0.0,1356;1125;1981;1900;789;1270;1431;709;613;1754
G1,clean,val,neg-L2,matched-degraded,G1_yaw250_pitch+020,250.0,20.0,75.0,-35.0,175.0,55.0,0.0,0.0,311;651;2078;1047;169;1070;1481;388;802;1924
G1,clean,val,neg-L2,matched-degraded,G1_yaw270_pitch+005,270.0,5.0,135.0,70.0,135.0,65.0,0.0,0.0,1514;1869;1872;2079;1699;283;1451;429;2027;1714
G1,clean,val,neg-L2,matched-degraded,G1_yaw335_pitch-030,335.0,-30.0,260.0,-45.0,75.0,15.0,0.0,0.0,1645;735;2043;814;337;1529;1182;1267;1588;63
G1,clean,val,neg-L2,matched-degraded,G1_yaw125_pitch-025,125.0,-25.0,310.0,-35.0,175.0,10.0,0.0,0.0,926;1655;1230;1936;840;1438;468;1332;811;1573
G1,clean,val,neg-L2,matched-degraded,G1_yaw240_pitch-055,240.0,-55.0,240.0,-60.0,0.0,5.0,0.0,0.0,1443;2020;803;948;1417;1653;298;1817;1882;300
G1,clean,val,neg-L2,matched-degraded,G1_yaw205_pitch-075,205.0,-75.0,315.0,-30.0,110.0,45.0,0.0,0.0,1313;65;2047;1593;1982;1243;2004;415;885;1680
G1,clean,val,neg-L2,matched-degraded,G1_yaw310_pitch-025,310.0,-25.0,270.0,85.0,40.0,110.0,0.0,0.0,1790;1680;415;2004;1374;745;519;1982;1313;65
G1,clean,val,neg-L2,matched-degraded,G1_yaw215_pitch-015,215.0,-15.0,95.0,-70.0,120.0,55.0,0.0,0.0,378;1095;497;988;1769;1324;541;1772;48;1501
G1,clean,val,neg-L2,matched-degraded,G1_yaw275_pitch+005,275.0,5.0,290.0,-25.0,15.0,30.0,0.0,0.0,455;720;1746;2073;1102;877;689;239;1749;2105
G1,clean,val,neg-L2,matched-degraded,G1_yaw145_pitch-080,145.0,-80.0,145.0,-75.0,0.0,5.0,2e-06,9e-06,376;645;1928;1318;1342;1620;1657;1580;289;501
G1,clean,val,neg-L2,matched-degraded,G1_yaw255_pitch-085,255.0,-85.0,165.0,0.0,90.0,85.0,0.0,0.0,1529;1588;2043;273;545;735;1507;407;1645;1961
G1,clean,val,neg-L2,matched-degraded,G1_yaw145_pitch-050,145.0,-50.0,155.0,-50.0,10.0,0.0,0.0,0.0,541;1324;1772;1769;1501;1933;497;378;1095;1149
G1,clean,val,neg-L2,matched-degraded,G1_yaw230_pitch+055,230.0,55.0,245.0,20.0,15.0,35.0,0.0,0.0,161;1500;1848;138;1785;817;734;328;956;456
G1,clean,val,neg-L2,matched-degraded,G1_yaw305_pitch-030,305.0,-30.0,100.0,65.0,155.0,95.0,0.0,0.0,1285;1118;1819;467;499;971;381;1553;1325;303
G1,clean,val,neg-L2,matched-degraded,G1_yaw350_pitch-065,350.0,-65.0,175.0,90.0,175.0,155.0,0.0,0.0,1951;1894;1300;1408;1876;280;920;1844;206;1262
G1,clean,val,neg-L2,matched-degraded,G1_yaw050_pitch+090,50.0,90.0,65.0,45.0,15.0,45.0,0.0,0.0,1832;1434;5;238;882;850;2003;621;487;386
G1,clean,val,neg-L2,matched-degraded,G1_yaw060_pitch+030,60.0,30.0,55.0,35.0,5.0,5.0,0.0,0.0,1780;207;981;618;181;1710;894;1027;524;39
G1,clean,val,neg-L2,matched-degraded,G1_yaw070_pitch-075,70.0,-75.0,330.0,65.0,100.0,140.0,0.0,0.0,1801;1203;1895;1908;1194;1288;1032;1543;804;1169
G1,clean,val,neg-L2,matched-degraded,G1_yaw245_pitch-090,245.0,-90.0,245.0,-55.0,0.0,35.0,0.0,0.0,1335;1709;1511;1584;1383;964;1984;530;1718;1276
G1,clean,val,neg-L2,matched-degraded,G1_yaw005_pitch-010,5.0,-10.0,175.0,90.0,170.0,100.0,0.0,0.0,1951;1894;1300;1408;1876;280;920;1844;206;1262
G1,clean,val,neg-L2,matched-degraded,G1_yaw275_pitch-060,275.0,-60.0,300.0,-65.0,25.0,5.0,0.0,0.0,1215;1161;1913;1955;842;1997;158;31;1796;422
G1,clean,val,neg-L2,matched-degraded,G1_yaw045_pitch+075,45.0,75.0,230.0,-50.0,175.0,125.0,0.0,0.0,1930;1818;1152;890;1941;257;1873;129;426;1703
G1,clean,val,neg-L2,matched-degraded,G1_yaw050_pitch+035,50.0,35.0,235.0,35.0,175.0,0.0,0.0,0.0,201;2057;1642;1603;89;959;1536;1885;1485;42
G1,clean,val,neg-L2,matched-degraded,G1_yaw095_pitch+060,95.0,60.0,210.0,0.0,115.0,60.0,0.0,0.0,731;1977;193;1337;1073;137;502;1107;760;1613
G1,clean,val,neg-L2,matched-degraded,G1_yaw025_pitch+075,25.0,75.0,215.0,25.0,170.0,50.0,0.0,0.0,1037;992;20;1236;870;2095;1422;2065;950;676
G1,clean,val,neg-L2,matched-degraded,G1_yaw100_pitch-030,100.0,-30.0,140.0,65.0,40.0,95.0,0.0,0.0,1711;574;264;1998;1766;1165;267;1713;143;1513
G1,clean,val,neg-L2,matched-degraded,G1_yaw275_pitch+010,275.0,10.0,125.0,75.0,150.0,65.0,0.0,0.0,635;199;1537;276;1436;1034;626;741;1569;2096
G1,clean,val,neg-L2,matched-degraded,G1_yaw050_pitch+065,50.0,65.0,50.0,55.0,0.0,10.0,0.0,0.0,773;250;77;339;386;487;621;238;1743;1434
G1,clean,val,neg-L2,matched-degraded,G1_yaw165_pitch-015,165.0,-15.0,20.0,-90.0,145.0,75.0,0.0,0.0,830;764;614;1563;944;91;358;1404;1875;1367
G1,clean,val,neg-L2,matched-degraded,G1_yaw240_pitch-045,240.0,-45.0,240.0,-85.0,0.0,40.0,0.0,0.0,844;1650;317;11;300;1763;1882;1056;1817;1993
G1,clean,val,neg-L2,matched-degraded,G1_yaw060_pitch-050,60.0,-50.0,55.0,-60.0,5.0,10.0,0.0,0.0,1218;2063;451;716;1683;1050;149;521;1247;826
G1,clean,val,neg-L2,matched-degraded,G1_yaw230_pitch-020,230.0,-20.0,335.0,-90.0,105.0,70.0,0.0,0.0,1032;1288;804;1194;1169;943;1203;1801;1895;1908
G1,clean,val,neg-L2,matched-degraded,G1_yaw155_pitch+085,155.0,85.0,225.0,-65.0,70.0,150.0,0.0,0.0,360;72;484;340;696;1179;1393;385;1651;1421
G1,clean,val,neg-L2,matched-degraded,G1_yaw080_pitch-055,80.0,-55.0,35.0,40.0,45.0,95.0,0.0,0.0,309;1647;452;248;2068;1878;905;1046;1748;1911
G1,clean,val,neg-L2,matched-degraded,G1_yaw180_pitch+040,180.0,40.0,355.0,55.0,175.0,15.0,0.0,0.0,912;612;1764;1307;76;2106;593;163;1139;1796
G1,clean,val,neg-L2,matched-degraded,G1_yaw340_pitch+065,340.0,65.0,330.0,-40.0,10.0,105.0,0.0,0.0,507;1124;414;1841;144;1231;1826;1704;1613;97
G1,clean,val,neg-L2,matched-degraded,G1_yaw095_pitch-090,95.0,-90.0,265.0,55.0,170.0,145.0,0.0,0.0,827;699;1601;1961;488;1455;407;1507;1428;545
G1,clean,val,neg-L2,matched-degraded,G1_yaw345_pitch-025,345.0,-25.0,155.0,40.0,170.0,65.0,0.0,0.0,518;504;498;104;1190;913;1314;187;1795;1632
G1,clean,val,neg-L2,matched-degraded,G1_yaw000_pitch+080,0.0,80.0,0.0,-55.0,0.0,135.0,0.0,0.0,1722;1768;600;189;1380;659;1689;1035;1665;1359
G1,clean,val,neg-L2,matched-degraded,G1_yaw075_pitch+000,75.0,0.0,40.0,25.0,35.0,25.0,0.0,0.0,1480;1925;648;1110;629;1558;784;725;1582;60
G1,clean,val,neg-L2,matched-degraded,G1_yaw095_pitch-080,95.0,-80.0,90.0,60.0,5.0,140.0,0.0,0.0,660;859;1707;783;604;1226;1202;1565;15;1917
G1,clean,val,neg-L2,matched-degraded,G1_yaw300_pitch-020,300.0,-20.0,275.0,55.0,25.0,75.0,0.0,0.0,2041;353;986;646;244;2012;172;721;1305;202
G1,clean,val,neg-L2,matched-degraded,G1_yaw230_pitch+040,230.0,40.0,230.0,-5.0,0.0,45.0,0.0,0.0,140;511;975;1473;754;456;328;1520;1813;1785
G1,clean,val,neg-L2,matched-degraded,G1_yaw260_pitch+075,260.0,75.0,260.0,50.0,0.0,25.0,0.0,0.0,871;1870;2088;1559;718;1887;1412;1149;230;274
G1,clean,val,neg-L2,matched-degraded,G1_yaw105_pitch+045,105.0,45.0,170.0,40.0,65.0,5.0,0.0,0.0,1210;888;515;1719;837;21;1540;66;162;1156
G1,clean,val,neg-L2,matched-degraded,G1_yaw065_pitch+015,65.0,15.0,65.0,55.0,0.0,40.0,0.0,0.0,1885;200;959;644;1603;2057;201;1851;2003;850
G1,clean,val,neg-L2,matched-degraded,G1_yaw280_pitch+005,280.0,5.0,350.0,85.0,70.0,80.0,0.0,0.0,291;313;799;1700;1101;868;154;1219;126;293
G1,clean,val,neg-L2,matched-degraded,G1_yaw135_pitch-075,135.0,-75.0,330.0,-25.0,165.0,50.0,0.0,0.0,25;525;1092;906;1401;973;2010;1323;1836;342
G1,clean,val,neg-L2,matched-degraded,G1_yaw250_pitch+055,250.0,55.0,40.0,-70.0,150.0,125.0,0.0,0.0,772;1452;752;53;1029;1960;60;1582;2093;784
G1,clean,val,neg-L2,matched-degraded,G1_yaw240_pitch+075,240.0,75.0,240.0,65.0,0.0,10.0,0.0,0.0,711;1394;134;26;1312;38;87;931;1064;1430
G1,clean,val,neg-L2,matched-degraded,G1_yaw150_pitch-080,150.0,-80.0,145.0,-75.0,5.0,5.0,0.0,3e-06,376;645;1928;1318;1342;1657;1620;1580;501;542
G1,clean,val,neg-L2,matched-degraded,G1_yaw345_pitch+030,345.0,30.0,125.0,-45.0,140.0,75.0,0.0,0.0,675;1502;99;1366;1858;1742;421;1561;1915;269
G1,clean,val,neg-L2,matched-degraded,G1_yaw010_pitch+040,10.0,40.0,115.0,0.0,105.0,40.0,0.0,0.0,75;477;119;424;159;1074;1232;755;178;145
G1,clean,val,neg-L2,matched-degraded,G1_yaw105_pitch+025,105.0,25.0,325.0,30.0,140.0,5.0,0.0,0.0,1982;1313;65;2047;1593;2004;415;1680;1790;1243
G1,clean,val,neg-L2,matched-degraded,G1_yaw005_pitch+005,5.0,5.0,5.0,50.0,0.0,45.0,0.0,0.0,2069;1572;709;611;1270;789;1900;1981;1125;834
G1,clean,val,neg-L2,matched-degraded,G1_yaw105_pitch-065,105.0,-65.0,200.0,-40.0,95.0,25.0,0.0,0.0,791;263;234;569;1381;1415;1003;105;839;603
G1,clean,val,neg-L2,matched-degraded,G1_yaw100_pitch-005,100.0,-5.0,105.0,-75.0,5.0,70.0,0.0,0.0,251;359;1454;744;1579;565;823;1281;577;1800
G1,clean,val,neg-L2,matched-degraded,G1_yaw310_pitch+045,310.0,45.0,305.0,20.0,5.0,25.0,0.0,0.0,1907;1528;1705;1646;1990;1204;2044;999;892;1017
G1,clean,val,neg-L2,matched-degraded,G1_yaw145_pitch-085,145.0,-85.0,145.0,-70.0,0.0,15.0,0.0,1e-06,835;338;1840;278;1599;1939;778;1684;1669;1244
G1,clean,val,neg-L2,matched-degraded,G1_yaw040_pitch-080,40.0,-80.0,225.0,0.0,175.0,80.0,0.0,0.0,1688;1213;1242;438;725;1558;43;629;1925;1480
G1,clean,val,neg-L2,matched-degraded,G1_yaw350_pitch+090,350.0,90.0,295.0,75.0,55.0,15.0,0.0,0.0,393;268;1022;1888;1541;714;1910;1974;1985;2022
G1,clean,val,neg-L2,matched-degraded,G1_yaw080_pitch-040,80.0,-40.0,135.0,90.0,55.0,130.0,0.0,0.0,266;1432;945;1042;450;1286;1778;984;1129;196
G1,clean,val,neg-L2,matched-degraded,G1_yaw125_pitch+025,125.0,25.0,140.0,55.0,15.0,30.0,0.0,0.0,380;1555;377;1094;1504;993;649;80;982;952
G1,clean,val,neg-L2,matched-degraded,G1_yaw335_pitch+000,335.0,0.0,225.0,65.0,110.0,65.0,0.0,0.0,1420;712;485;848;1078;28;1458;1923;1387;722
G1,clean,val,neg-L2,matched-degraded,G1_yaw235_pitch-090,235.0,-90.0,235.0,-45.0,0.0,45.0,0.0,0.0,705;1728;2016;935;1302;133;1283;1993;1056;1763
G1,clean,val,neg-L2,matched-degraded,G1_yaw265_pitch+035,265.0,35.0,20.0,40.0,115.0,5.0,0.0,0.0,1428;1040;951;1455;488;1601;1470;699;827;1961
G1,clean,val,neg-L2,matched-degraded,G1_yaw190_pitch+015,190.0,15.0,355.0,-90.0,165.0,105.0,0.0,0.0,113;509;331;1026;1547;40;1531;685;603;839
G1,clean,val,neg-L2,matched-degraded,G1_yaw290_pitch-035,290.0,-35.0,300.0,-70.0,10.0,35.0,0.0,0.0,1346;1460;938;957;1644;314;506;1402;1633;1260
G1,clean,val,neg-L2,matched-degraded,G1_yaw255_pitch+050,255.0,50.0,85.0,65.0,170.0,15.0,0.0,0.0,476;1496;1595;19;96;1411;578;2094;1767;1750
G1,clean,val,neg-L2,matched-degraded,G1_yaw190_pitch-085,190.0,-85.0,285.0,90.0,95.0,175.0,0.0,0.0,429;1699;961;1594;2079;1872;724;1514;1869;1350
G1,clean,val,neg-L2,matched-degraded,G1_yaw290_pitch-055,290.0,-55.0,285.0,-55.0,5.0,0.0,0.0,0.0,653;245;998;1604;299;1358;1966;1626;605;510
G1,clean,val,neg-L2,matched-degraded,G1_yaw150_pitch+050,150.0,50.0,350.0,-80.0,160.0,130.0,0.0,0.0,117;1759;1282;1660;1712;1732;1757;893;1362;1512
G1,clean,val,neg-L2,matched-degraded,G1_yaw285_pitch+035,285.0,35.0,5.0,30.0,80.0,5.0,0.0,0.0,709;1270;789;1900;1981;1125;1356;2069;1572;1431
G1,clean,val,neg-L2,matched-degraded,G1_yaw090_pitch-070,90.0,-70.0,255.0,25.0,165.0,95.0,0.0,0.0,1716;1373;1278;1004;588;682;1970;366;1;1126
G1,clean,val,neg-L2,matched-degraded,G1_yaw235_pitch+085,235.0,85.0,240.0,85.0,5.0,0.0,0.0,0.0,1814;1994;227;1444;1823;1031;1530;411;1527;1988
G1,clean,val,neg-L2,matched-degraded,G1_yaw200_pitch-010,200.0,-10.0,275.0,-5.0,75.0,5.0,0.0,0.0,684;1598;942;1573;655;1350;1332;468;1438;840
G1,clean,val,neg-L2,matched-degraded,G1_yaw335_pitch+055,335.0,55.0,175.0,25.0,160.0,30.0,0.0,0.0,1457;1564;652;1760;921;598;602;478;13;665
G1,clean,val,neg-L2,matched-degraded,G1_yaw055_pitch-035,55.0,-35.0,60.0,75.0,5.0,110.0,0.0,0.0,695;680;167;1008;546;1193;879;127;419;2018
G1,clean,val,neg-L2,matched-degraded,G1_yaw250_pitch+010,250.0,10.0,225.0,30.0,25.0,20.0,0.0,0.0,492;1132;2093;1960;1029;896;752;2055;1437;1452
G1,clean,val,neg-L2,matched-degraded,G1_yaw030_pitch-015,30.0,-15.0,220.0,-20.0,170.0,5.0,0.0,0.0,1315;1098;1191;271;1077;620;1117;23;1246;1348
G1,clean,val,neg-L2,matched-degraded,G1_yaw070_pitch+035,70.0,35.0,245.0,-65.0,175.0,100.0,0.0,0.0,964;1584;1511;1709;1718;1335;1276;489;937;642
G1,clean,val,neg-L2,matched-degraded,G1_yaw055_pitch+020,55.0,20.0,60.0,15.0,5.0,5.0,0.0,0.0,127;419;2018;546;1225;695;680;1971;167;90
G1,clean,val,neg-L2,matched-degraded,G1_yaw110_pitch+005,110.0,5.0,10.0,90.0,100.0,85.0,0.0,0.0,1690;175;1641;1334;93;1410;13;1513;143;267
G1,clean,val,neg-L2,matched-degraded,G1_yaw105_pitch+015,105.0,15.0,210.0,65.0,105.0,50.0,0.0,0.0,771;1343;760;2086;502;895;683;1073;1337;1175
G1,clean,val,neg-L2,matched-degraded,G1_yaw035_pitch+070,35.0,70.0,80.0,70.0,45.0,0.0,0.0,0.0,103;1391;1874;1224;1515;297;27;860;1014;1142
G1,clean,val,neg-L2,matched-degraded,G1_yaw020_pitch-020,20.0,-20.0,25.0,-5.0,5.0,15.0,0.0,0.0,814;1645;337;735;2043;1182;1267;63;867;1854
G1,clean,val,neg-L2,matched-degraded,G1_yaw350_pitch-015,350.0,-15.0,265.0,-45.0,85.0,30.0,0.0,0.0,1682;98;740;1112;1676;597;187;566;186;900
G1,clean,val,neg-L2,matched-degraded,G1_yaw130_pitch+090,130.0,90.0,315.0,5.0,175.0,85.0,0.0,0.0,1532;400;1738;1782;861;1164;887;423;1198;233
G1,clean,val,neg-L2,matched-degraded,G1_yaw090_pitch+040,90.0,40.0,220.0,-20.0,130.0,60.0,0.0,0.0,1315;1098;1191;271;1117;1077;620;23;1246;1348
G1,clean,val,neg-L2,matched-degraded,G1_yaw145_pitch+050,145.0,50.0,260.0,-85.0,115.0,135.0,0.0,0.0,1192;116;1871;1623;782;2053;1736;226;893;1072
G1,clean,val,neg-L2,matched-degraded,G1_yaw040_pitch-085,40.0,-85.0,250.0,40.0,150.0,125.0,0.0,0.0,1242;1688;438;1213;43;725;1558;629;1925;1480
G1,clean,val,neg-L2,matched-degraded,G1_yaw200_pitch-025,200.0,-25.0,110.0,25.0,90.0,50.0,0.0,0.0,1578;665;478;602;598;1760;62;1020;652;1564
G1,clean,val,neg-L2,matched-degraded,G1_yaw270_pitch-075,270.0,-75.0,185.0,55.0,85.0,130.0,0.0,0.0,717;1376;92;1556;132;384;1866;1968;1245;1427
G1,clean,val,neg-L2,matched-degraded,G1_yaw135_pitch+010,135.0,10.0,160.0,10.0,25.0,0.0,0.0,0.0,2074;1934;1806;1743;558;218;77;1619;773;250
G1,clean,val,neg-L2,matched-degraded,G1_yaw290_pitch-075,290.0,-75.0,290.0,-80.0,0.0,5.0,0.0,0.0,1604;998;653;1358;245;1966;1626;299;605;155
G1,clean,val,neg-L2,matched-degraded,G1_yaw355_pitch+060,355.0,60.0,180.0,55.0,175.0,5.0,0.0,0.0,1139;163;76;779;1471;1764;612;912;917;1856
