category,ref_id,path,role,status
data_md,13-hd,v0.4_results/13_l1d3_confidence_pdb/hardcases/l1d3_recommended_pinthard_design.md,链4 P-INT-hard设计建议,OK
data_csv,13-im,v0.4_results/13_l1d3_confidence_pdb/audit/l1d3_input_manifest.csv,链4输入审计manifest(104行),OK
data_png,13-pg,v0.4_results/13_l1d3_confidence_pdb/figures/pdb_gain_curve.png,链4 P-DB增益图,OK
data_png,13-cq,v0.4_results/13_l1d3_confidence_pdb/figures/complementarity_quadrants.png,链4互补四象限图,OK
data_png,13-rc,v0.4_results/13_l1d3_confidence_pdb/figures/risk_coverage_curves.png,链4 risk-coverage图,OK
pack_table,A,v0.4_results/14_route1c_stage_results_pack/tables/route1c_evidence_chain.csv,证据链总表,OK
pack_text,A,v0.4_results/14_route1c_stage_results_pack/text/route1c_evidence_chain.md,证据链总表MD,OK
pack_table,B,v0.4_results/14_route1c_stage_results_pack/tables/route1c_figure_plan.csv,图表与SI清单,OK
pack_text,B,v0.4_results/14_route1c_stage_results_pack/text/route1c_figure_plan.md,图表与SI清单MD,OK
pack_text,C,v0.4_results/14_route1c_stage_results_pack/text/route1c_results_narrative_skeleton.md,非正文叙事骨架,OK
pack_table,D,v0.4_results/14_route1c_stage_results_pack/tables/route1c_claim_boundary_table.csv,claim边界表,OK
pack_text,D,v0.4_results/14_route1c_stage_results_pack/text/route1c_claim_boundary_table.md,claim边界表MD,OK
pack_table,E,v0.4_results/14_route1c_stage_results_pack/tables/route1c_next_experiment_options.csv,待补实验建议表,OK
pack_text,E,v0.4_results/14_route1c_stage_results_pack/text/route1c_next_experiment_options.md,待补实验建议表MD,OK
pack_audit,F,v0.4_results/14_route1c_stage_results_pack/audit/route1c_stage_results_manifest.csv,路径manifest(本文件),OK
pack_audit,F,v0.4_results/14_route1c_stage_results_pack/audit/route1c_stage_results_manifest.md,路径manifest MD,OK
pack_figures,copy,v0.4_results/14_route1c_stage_results_pack/figures/,复用图副本(copy_R115/R119前缀共7张),OK
