source,protocol,geometry_group,mode,degrade_level,split,select,path,n_samples,missing_fields,field_complete
R116-degraded(12_l1m3),P-INT,G1,image_only,degraded-mild,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_image_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,image_only,degraded-mild,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_image_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,image_only,degraded-mild,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_image_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,image_only,degraded-mild,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_image_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,joint,degraded-mild,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_joint_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,joint,degraded-mild,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_joint_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,joint,degraded-mild,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_joint_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,joint,degraded-mild,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G1_joint_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,image_only,degraded-mild,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_image_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,image_only,degraded-mild,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_image_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,image_only,degraded-mild,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_image_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,image_only,degraded-mild,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_image_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,joint,degraded-mild,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_joint_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,joint,degraded-mild,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_joint_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,joint,degraded-mild,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_joint_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,joint,degraded-mild,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-mild_P-INT_G5_joint_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,ocs_only,degraded-moderate,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_ocs_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,ocs_only,degraded-moderate,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_ocs_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,ocs_only,degraded-moderate,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_ocs_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,ocs_only,degraded-moderate,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_ocs_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G3,ocs_only,degraded-moderate,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G3_ocs_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G3,ocs_only,degraded-moderate,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G3_ocs_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G3,ocs_only,degraded-moderate,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G3_ocs_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G3,ocs_only,degraded-moderate,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G3_ocs_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,ocs_only,degraded-moderate,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_ocs_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,ocs_only,degraded-moderate,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_ocs_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,ocs_only,degraded-moderate,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_ocs_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,ocs_only,degraded-moderate,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_ocs_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,image_only,degraded-moderate,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_image_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,image_only,degraded-moderate,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_image_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,image_only,degraded-moderate,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_image_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,image_only,degraded-moderate,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_image_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,joint,degraded-moderate,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_joint_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,joint,degraded-moderate,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_joint_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G1,joint,degraded-moderate,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_joint_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G1,joint,degraded-moderate,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G1_joint_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,image_only,degraded-moderate,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_image_only_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,image_only,degraded-moderate,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_image_only_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,image_only,degraded-moderate,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_image_only_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,image_only,degraded-moderate,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_image_only_seed42\samples_test_best.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,joint,degraded-moderate,val,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_joint_seed42\samples_val_final.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,joint,degraded-moderate,val,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_joint_seed42\samples_val_best.npz,259,,True
R116-degraded(12_l1m3),P-INT,G5,joint,degraded-moderate,test,final,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_joint_seed42\samples_test_final.npz,296,,True
R116-degraded(12_l1m3),P-INT,G5,joint,degraded-moderate,test,best,v0.4_results\12_l1m3_degraded_mroll\degraded\runs\degraded-moderate_P-INT_G5_joint_seed42\samples_test_best.npz,296,,True
