seed_id,record_id,yaw,pitch,category,source_file,key_metric,why_roll_extend,suggested_roll_range,risk_flag
dark-seed__yaw290_pitch-065,yaw290_pitch-065,290.0,-65.0,dark-seed,01_fullrun/postprocess (phase63),ocs_total=0.01072,最暗但非零姿态；检验低信号在 roll 下是否仍不可用,{-30..+30 step15},low-signal
dark-seed__yaw285_pitch-065,yaw285_pitch-065,285.0,-65.0,dark-seed,01_fullrun/postprocess (phase63),ocs_total=0.01073,最暗但非零姿态；检验低信号在 roll 下是否仍不可用,{-30..+30 step15},low-signal
dark-seed__yaw285_pitch-060,yaw285_pitch-060,285.0,-60.0,dark-seed,01_fullrun/postprocess (phase63),ocs_total=0.01103,最暗但非零姿态；检验低信号在 roll 下是否仍不可用,{-30..+30 step15},low-signal
dark-seed__yaw285_pitch-075,yaw285_pitch-075,285.0,-75.0,dark-seed,01_fullrun/postprocess (phase63),ocs_total=0.01108,最暗但非零姿态；检验低信号在 roll 下是否仍不可用,{-30..+30 step15},low-signal
dark-seed__yaw290_pitch-085,yaw290_pitch-085,290.0,-85.0,dark-seed,01_fullrun/postprocess (phase63),ocs_total=0.01109,最暗但非零姿态；检验低信号在 roll 下是否仍不可用,{-30..+30 step15},low-signal
dark-seed__yaw280_pitch-065,yaw280_pitch-065,280.0,-65.0,dark-seed,01_fullrun/postprocess (phase63),ocs_total=0.01113,最暗但非零姿态；检验低信号在 roll 下是否仍不可用,{-30..+30 step15},low-signal
high-info-seed__yaw240_pitch+030,yaw240_pitch+030,240.0,30.0,high-info-seed,16_.../d4_geometry_gain_by_attitude.csv,gain_g1_g5=179.2deg,多几何 OCS 救回增益最大；高可分姿态，检验 roll 下可分性是否保持,{-60..+60 step15},none
high-info-seed__yaw240_pitch+020,yaw240_pitch+020,240.0,20.0,high-info-seed,16_.../d4_geometry_gain_by_attitude.csv,gain_g1_g5=178.0deg,多几何 OCS 救回增益最大；高可分姿态，检验 roll 下可分性是否保持,{-60..+60 step15},none
high-info-seed__yaw240_pitch-015,yaw240_pitch-015,240.0,-15.0,high-info-seed,16_.../d4_geometry_gain_by_attitude.csv,gain_g1_g5=176.4deg,多几何 OCS 救回增益最大；高可分姿态，检验 roll 下可分性是否保持,{-60..+60 step15},none
high-info-seed__yaw015_pitch+020,yaw015_pitch+020,15.0,20.0,high-info-seed,16_.../d4_geometry_gain_by_attitude.csv,gain_g1_g5=172.3deg,多几何 OCS 救回增益最大；高可分姿态，检验 roll 下可分性是否保持,{-60..+60 step15},none
high-info-seed__yaw015_pitch+050,yaw015_pitch+050,15.0,50.0,high-info-seed,16_.../d4_geometry_gain_by_attitude.csv,gain_g1_g5=171.2deg,多几何 OCS 救回增益最大；高可分姿态，检验 roll 下可分性是否保持,{-60..+60 step15},none
high-info-seed__yaw015_pitch+085,yaw015_pitch+085,15.0,85.0,high-info-seed,16_.../d4_geometry_gain_by_attitude.csv,gain_g1_g5=170.0deg,多几何 OCS 救回增益最大；高可分姿态，检验 roll 下可分性是否保持,{-60..+60 step15},none
high-info-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,high-info-seed,16_.../d4_geometry_gain_by_attitude.csv,gain_g1_g5=169.2deg,多几何 OCS 救回增益最大；高可分姿态，检验 roll 下可分性是否保持,{-60..+60 step15},none
high-info-seed__yaw015_pitch-020,yaw015_pitch-020,15.0,-20.0,high-info-seed,16_.../d4_geometry_gain_by_attitude.csv,gain_g1_g5=169.1deg,多几何 OCS 救回增益最大；高可分姿态，检验 roll 下可分性是否保持,{-60..+60 step15},none
low-info-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,low-info-seed,13_.../hardcase_index + neural_pdb_joined,cand_spread=86.5,ambiguous-flux / 候选 yaw 弥散大；低信息易混淆，检验 roll 是否加剧混淆,{-30..+30 step15},ambiguous
low-info-seed__yaw090_pitch+015,yaw090_pitch+015,90.0,15.0,low-info-seed,13_.../hardcase_index + neural_pdb_joined,cand_spread=86.4,ambiguous-flux / 候选 yaw 弥散大；低信息易混淆，检验 roll 是否加剧混淆,{-30..+30 step15},ambiguous
low-info-seed__yaw115_pitch+020,yaw115_pitch+020,115.0,20.0,low-info-seed,13_.../hardcase_index + neural_pdb_joined,cand_spread=85.8,ambiguous-flux / 候选 yaw 弥散大；低信息易混淆，检验 roll 是否加剧混淆,{-30..+30 step15},ambiguous
low-info-seed__yaw310_pitch+070,yaw310_pitch+070,310.0,70.0,low-info-seed,13_.../hardcase_index + neural_pdb_joined,cand_spread=85.7,ambiguous-flux / 候选 yaw 弥散大；低信息易混淆，检验 roll 是否加剧混淆,{-30..+30 step15},ambiguous
low-info-seed__yaw180_pitch+070,yaw180_pitch+070,180.0,70.0,low-info-seed,13_.../hardcase_index + neural_pdb_joined,cand_spread=85.4,ambiguous-flux / 候选 yaw 弥散大；低信息易混淆，检验 roll 是否加剧混淆,{-30..+30 step15},ambiguous
low-info-seed__yaw085_pitch+000,yaw085_pitch+000,85.0,0.0,low-info-seed,13_.../hardcase_index + neural_pdb_joined,cand_spread=85.3,ambiguous-flux / 候选 yaw 弥散大；低信息易混淆，检验 roll 是否加剧混淆,{-30..+30 step15},ambiguous
low-info-seed__yaw300_pitch+060,yaw300_pitch+060,300.0,60.0,low-info-seed,13_.../hardcase_index + neural_pdb_joined,cand_spread=83.9,ambiguous-flux / 候选 yaw 弥散大；低信息易混淆，检验 roll 是否加剧混淆,{-30..+30 step15},ambiguous
low-info-seed__yaw100_pitch+075,yaw100_pitch+075,100.0,75.0,low-info-seed,13_.../hardcase_index + neural_pdb_joined,cand_spread=83.9,ambiguous-flux / 候选 yaw 弥散大；低信息易混淆，检验 roll 是否加剧混淆,{-30..+30 step15},ambiguous
ocs-hard-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,ocs-hard-seed,16_.../d4_geometry_gain_by_attitude.csv,ocs_g5_err=171.8deg,OCS-only 即使 G5 仍高误差；OCS 难区，检验图像/roll 是否补救,{-60..+60 step15},ocs-hard
ocs-hard-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,ocs-hard-seed,16_.../d4_geometry_gain_by_attitude.csv,ocs_g5_err=164.7deg,OCS-only 即使 G5 仍高误差；OCS 难区，检验图像/roll 是否补救,{-60..+60 step15},ocs-hard
ocs-hard-seed__yaw070_pitch-090,yaw070_pitch-090,70.0,-90.0,ocs-hard-seed,16_.../d4_geometry_gain_by_attitude.csv,ocs_g5_err=160.4deg,OCS-only 即使 G5 仍高误差；OCS 难区，检验图像/roll 是否补救,{-60..+60 step15},ocs-hard
ocs-hard-seed__yaw300_pitch-025,yaw300_pitch-025,300.0,-25.0,ocs-hard-seed,16_.../d4_geometry_gain_by_attitude.csv,ocs_g5_err=134.1deg,OCS-only 即使 G5 仍高误差；OCS 难区，检验图像/roll 是否补救,{-60..+60 step15},ocs-hard
ocs-hard-seed__yaw295_pitch+090,yaw295_pitch+090,295.0,90.0,ocs-hard-seed,16_.../d4_geometry_gain_by_attitude.csv,ocs_g5_err=126.6deg,OCS-only 即使 G5 仍高误差；OCS 难区，检验图像/roll 是否补救,{-60..+60 step15},ocs-hard
ocs-hard-seed__yaw330_pitch-055,yaw330_pitch-055,330.0,-55.0,ocs-hard-seed,16_.../d4_geometry_gain_by_attitude.csv,ocs_g5_err=125.4deg,OCS-only 即使 G5 仍高误差；OCS 难区，检验图像/roll 是否补救,{-60..+60 step15},ocs-hard
ocs-hard-seed__yaw330_pitch-070,yaw330_pitch-070,330.0,-70.0,ocs-hard-seed,16_.../d4_geometry_gain_by_attitude.csv,ocs_g5_err=124.7deg,OCS-only 即使 G5 仍高误差；OCS 难区，检验图像/roll 是否补救,{-60..+60 step15},ocs-hard
ocs-hard-seed__yaw330_pitch-075,yaw330_pitch-075,330.0,-75.0,ocs-hard-seed,16_.../d4_geometry_gain_by_attitude.csv,ocs_g5_err=123.2deg,OCS-only 即使 G5 仍高误差；OCS 难区，检验图像/roll 是否补救,{-60..+60 step15},ocs-hard
image-hard-seed__yaw165_pitch-020,yaw165_pitch-020,165.0,-20.0,image-hard-seed,13_.../hardcase_index.csv,labels=disagreement-hard;image-hard(image_only);robust-easy,image_only 失败/欠覆盖；检验 roll 下图像通道是否更难,{-30..+30 step15},image-hard
image-hard-seed__yaw170_pitch+000,yaw170_pitch+000,170.0,0.0,image-hard-seed,13_.../hardcase_index.csv,labels=image-hard(image_only),image_only 失败/欠覆盖；检验 roll 下图像通道是否更难,{-30..+30 step15},image-hard
disagreement-seed__yaw250_pitch-010,yaw250_pitch-010,250.0,-10.0,disagreement-seed,13_.../hardcase_index.csv,labels=disagreement-hard,OCS 与 image 候选冲突；检验 roll 下通道冲突如何变化,{-45..+45 step15},channel-conflict
disagreement-seed__yaw015_pitch-020,yaw015_pitch-020,15.0,-20.0,disagreement-seed,13_.../hardcase_index.csv,labels=disagreement-hard,OCS 与 image 候选冲突；检验 roll 下通道冲突如何变化,{-45..+45 step15},channel-conflict
disagreement-seed__yaw250_pitch+015,yaw250_pitch+015,250.0,15.0,disagreement-seed,13_.../hardcase_index.csv,labels=disagreement-hard;robust-easy,OCS 与 image 候选冲突；检验 roll 下通道冲突如何变化,{-45..+45 step15},channel-conflict
disagreement-seed__yaw310_pitch-020,yaw310_pitch-020,310.0,-20.0,disagreement-seed,13_.../hardcase_index.csv,labels=disagreement-hard;ocs-hard;robust-easy,OCS 与 image 候选冲突；检验 roll 下通道冲突如何变化,{-45..+45 step15},channel-conflict
disagreement-seed__yaw065_pitch+075,yaw065_pitch+075,65.0,75.0,disagreement-seed,13_.../hardcase_index.csv,labels=disagreement-hard;ocs-hard,OCS 与 image 候选冲突；检验 roll 下通道冲突如何变化,{-45..+45 step15},channel-conflict
disagreement-seed__yaw065_pitch+070,yaw065_pitch+070,65.0,70.0,disagreement-seed,13_.../hardcase_index.csv,labels=ambiguous-flux;disagreement-hard;ocs-hard,OCS 与 image 候选冲突；检验 roll 下通道冲突如何变化,{-45..+45 step15},channel-conflict
disagreement-seed__yaw010_pitch-080,yaw010_pitch-080,10.0,-80.0,disagreement-seed,13_.../hardcase_index.csv,labels=disagreement-hard,OCS 与 image 候选冲突；检验 roll 下通道冲突如何变化,{-45..+45 step15},channel-conflict
disagreement-seed__yaw255_pitch-005,yaw255_pitch-005,255.0,-5.0,disagreement-seed,13_.../hardcase_index.csv,labels=disagreement-hard,OCS 与 image 候选冲突；检验 roll 下通道冲突如何变化,{-45..+45 step15},channel-conflict
roll-sensitive-seed__yaw285_pitch-085,yaw285_pitch-085,285.0,-85.0,roll-sensitive-seed,17_.../mroll_full2664 (G1 ocs_only),d(err30-err15)=131.2deg,±30° roll 误差抬升最大；fixed-roll 结论最可能被 roll 推翻，优先扫描,{-30..+30 step15 加密},roll-sensitive
roll-sensitive-seed__yaw150_pitch+085,yaw150_pitch+085,150.0,85.0,roll-sensitive-seed,17_.../mroll_full2664 (G1 ocs_only),d(err30-err15)=128.8deg,±30° roll 误差抬升最大；fixed-roll 结论最可能被 roll 推翻，优先扫描,{-30..+30 step15 加密},roll-sensitive
roll-sensitive-seed__yaw280_pitch-090,yaw280_pitch-090,280.0,-90.0,roll-sensitive-seed,17_.../mroll_full2664 (G1 ocs_only),d(err30-err15)=128.2deg,±30° roll 误差抬升最大；fixed-roll 结论最可能被 roll 推翻，优先扫描,{-30..+30 step15 加密},roll-sensitive
roll-sensitive-seed__yaw075_pitch-085,yaw075_pitch-085,75.0,-85.0,roll-sensitive-seed,17_.../mroll_full2664 (G1 ocs_only),d(err30-err15)=119.9deg,±30° roll 误差抬升最大；fixed-roll 结论最可能被 roll 推翻，优先扫描,{-30..+30 step15 加密},roll-sensitive
roll-sensitive-seed__yaw285_pitch+060,yaw285_pitch+060,285.0,60.0,roll-sensitive-seed,17_.../mroll_full2664 (G1 ocs_only),d(err30-err15)=118.8deg,±30° roll 误差抬升最大；fixed-roll 结论最可能被 roll 推翻，优先扫描,{-30..+30 step15 加密},roll-sensitive
roll-sensitive-seed__yaw285_pitch-090,yaw285_pitch-090,285.0,-90.0,roll-sensitive-seed,17_.../mroll_full2664 (G1 ocs_only),d(err30-err15)=117.6deg,±30° roll 误差抬升最大；fixed-roll 结论最可能被 roll 推翻，优先扫描,{-30..+30 step15 加密},roll-sensitive
roll-sensitive-seed__yaw070_pitch-070,yaw070_pitch-070,70.0,-70.0,roll-sensitive-seed,17_.../mroll_full2664 (G1 ocs_only),d(err30-err15)=116.7deg,±30° roll 误差抬升最大；fixed-roll 结论最可能被 roll 推翻，优先扫描,{-30..+30 step15 加密},roll-sensitive
roll-sensitive-seed__yaw045_pitch+070,yaw045_pitch+070,45.0,70.0,roll-sensitive-seed,17_.../mroll_full2664 (G1 ocs_only),d(err30-err15)=115.5deg,±30° roll 误差抬升最大；fixed-roll 结论最可能被 roll 推翻，优先扫描,{-30..+30 step15 加密},roll-sensitive
robust-easy-seed__yaw150_pitch+010,yaw150_pitch+010,150.0,10.0,robust-easy-seed,13_.../hardcase_index.csv,ocs_total=0.175,多通道均稳定；正对照，检验 roll 稳健性基线,{-60..+60 step15},none
robust-easy-seed__yaw150_pitch-075,yaw150_pitch-075,150.0,-75.0,robust-easy-seed,13_.../hardcase_index.csv,ocs_total=0.1647,多通道均稳定；正对照，检验 roll 稳健性基线,{-60..+60 step15},none
robust-easy-seed__yaw155_pitch-075,yaw155_pitch-075,155.0,-75.0,robust-easy-seed,13_.../hardcase_index.csv,ocs_total=0.1053,多通道均稳定；正对照，检验 roll 稳健性基线,{-60..+60 step15},none
robust-easy-seed__yaw320_pitch+075,yaw320_pitch+075,320.0,75.0,robust-easy-seed,13_.../hardcase_index.csv,ocs_total=0.09104,多通道均稳定；正对照，检验 roll 稳健性基线,{-60..+60 step15},none
robust-easy-seed__yaw060_pitch-090,yaw060_pitch-090,60.0,-90.0,robust-easy-seed,13_.../hardcase_index.csv,ocs_total=0.07326,多通道均稳定；正对照，检验 roll 稳健性基线,{-60..+60 step15},none
robust-easy-seed__yaw140_pitch+020,yaw140_pitch+020,140.0,20.0,robust-easy-seed,13_.../hardcase_index.csv,ocs_total=0.07038,多通道均稳定；正对照，检验 roll 稳健性基线,{-60..+60 step15},none
robust-easy-seed__yaw055_pitch-010,yaw055_pitch-010,55.0,-10.0,robust-easy-seed,13_.../hardcase_index.csv,ocs_total=0.06954,多通道均稳定；正对照，检验 roll 稳健性基线,{-60..+60 step15},none
robust-easy-seed__yaw320_pitch-020,yaw320_pitch-020,320.0,-20.0,robust-easy-seed,13_.../hardcase_index.csv,ocs_total=0.0667,多通道均稳定；正对照，检验 roll 稳健性基线,{-60..+60 step15},none
